伊斯坦布尔 ISTANBUL (17060)
德黑兰 TEHRAN (40754)
卡拉奇 KARACHI (41781)
新德里 NEW DELHI </string>
科伦坡 COLOMBO (43466)
首尔 SEOUL (47108)
釜山 BUSAN (47159)
东京 TOKYO (47662)
仰光 YANGON (48097)
曼谷 BANGKOK (48454)
吉隆坡 KUALA LUMPUR </string>
河内 HA NOI </string>
北京 BEIJING (54511)
雅加达 JAKARTA (96745)
汉堡 HAMBURG (10141)
柏林 BERLIN (10381)
法兰克福 FRANKFURT (10637)
维也纳 VIENNA (11034)
米兰 MILANO (16066)
罗马 ROMA (16235)
雅典 ATHENS (16701)
斯德哥尔摩 STOCKHOLM (2484)
莫斯科 MOSKVA (27612)
曼彻斯特 MANCHESTER (3334)
伦敦 LONDON (3779)
阿姆斯特丹 AMSTERDAM (6240)
布鲁塞尔 BRUSSELES (6451)
苏黎世 ZURICH (6660)
日内瓦 GENEVE (6700)
巴马科 BAMAKO (61291)
亚的斯亚贝巴 ADDIS ABABA </string>
内罗毕 NAIROBI (63740)
阿克拉 ACCRA (65472)
马普托 MAPUTO (67341)
约翰内斯堡 JOHANNESBURG (68368)
曼齐尼 MANZINI (68396)
开普敦 CAPE TOWN </string>
多伦多 TORONTO (71624)
蒙特利尔 MONTREAL (71627)
渥太华 OTTAWA (71628)
温哥华 VANCOUVER (71892)
迈阿密 MIAMI (72202)
亚特兰大 ATLANTA (72219)
休斯敦 HOUSTON (72243)
洛杉矶 LOS ANGELES </string>
拉斯维加斯 LAS VEGAS </string>
华盛顿 WASHINGTON DC </string>
纽约 NEW YORK </string>
波士顿 BOSTON  (72509)
芝加哥 CHICAGO (72530)
西雅图 SEATTLE (72793)
圣地亚哥 SANTIAGO DE (78264)</string>
波哥大 BOGOTA (80222)
利马 LIMA (84628)
蒙特港 PUERTO MONTT </string>
布宜诺斯艾利斯 BUENOS AIRES </string>
奥克兰 AUCKLAND (93110)
惠灵顿 WELLINGTON (93436)
悉尼 SYDNEY (94767)
墨尔本 MELBOURNE (94868)
堪培拉 CANBERRA (94926)
佛山 (59279)
吕梁 (53753)
伊宁 (51431)
